Lea State,LEA,School State,School,ID,Year,Category,Yes/No,# of Types of AP Courses,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),LEP
VA,DOE SOP EDUC PROGRAMS,VA,CHESTERFIELD JUVENILE DETENTION HOME,510004202380,2015,Number of types of AP courses,,0,,,,,,,,,,
VA,DOE SOP EDUC PROGRAMS,VA,CHESTERFIELD JUVENILE DETENTION HOME,510004202380,2015,Self-select,N/A,,,,,,,,,,
VA,DOE SOP EDUC PROGRAMS,VA,CHESTERFIELD JUVENILE DETENTION HOME,510004202380,2015,AP mathematics,,,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,CHESTERFIELD JUVENILE DETENTION HOME,510004202380,2015,AP science,,,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,CHESTERFIELD JUVENILE DETENTION HOME,510004202380,2015,Other AP subjects,,,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,CHESTERFIELD JUVENILE DETENTION HOME,510004202380,2015,Enrollment in AP classes,,,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,CHESTERFIELD JUVENILE DETENTION HOME,510004202380,2015,International Baccalaureate (IB),,,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,CHESTERFIELD JUVENILE DETENTION HOME,510004202380,2015,Dual Enrollment,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,DOE SOP EDUC PROGRAMS,VA,CHESTERFIELD JUVENILE DETENTION HOME,510004202380,2015,Total Enrollment (Secondary Schools),,,0.00,0.00,0.00,2.00,13.00,10.00,0.00,25.00,7.00,0.00
VA,DOE SOP EDUC PROGRAMS,VA,HENRICO JUVENILE DETENTION HOME - JAMES RIVER,510004202386,2015,Number of types of AP courses,,0,,,,,,,,,,
VA,DOE SOP EDUC PROGRAMS,VA,HENRICO JUVENILE DETENTION HOME - JAMES RIVER,510004202386,2015,Self-select,N/A,,,,,,,,,,
VA,DOE SOP EDUC PROGRAMS,VA,HENRICO JUVENILE DETENTION HOME - JAMES RIVER,510004202386,2015,AP mathematics,,,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,HENRICO JUVENILE DETENTION HOME - JAMES RIVER,510004202386,2015,AP science,,,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,HENRICO JUVENILE DETENTION HOME - JAMES RIVER,510004202386,2015,Other AP subjects,,,0,0,0,0,0,0,0,0,0,0
