Lea State,LEA,School State,School,ID,Year,Category,Yes/No,# of Types of AP Courses,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),LEP
VA,SMYTH CO PBLC SCHS,VA,NORTHWOOD HIGH,510352001563,2015,Number of types of AP courses,,1,,,,,,,,,,
VA,SMYTH CO PBLC SCHS,VA,NORTHWOOD HIGH,510352001563,2015,Self-select,Yes,,,,,,,,,,,
VA,SMYTH CO PBLC SCHS,VA,NORTHWOOD HIGH,510352001563,2015,AP mathematics,,,0,0,0,0,0,0,0,0,0,0
VA,SMYTH CO PBLC SCHS,VA,NORTHWOOD HIGH,510352001563,2015,AP science,,,0,0,0,0,0,0,0,0,0,0
VA,SMYTH CO PBLC SCHS,VA,NORTHWOOD HIGH,510352001563,2015,Other AP subjects,,,0,0,0,0,0,1,0,1,0,0
VA,SMYTH CO PBLC SCHS,VA,NORTHWOOD HIGH,510352001563,2015,Enrollment in AP classes,,,0,0,0,0,0,1,0,1,0,0
VA,SMYTH CO PBLC SCHS,VA,NORTHWOOD HIGH,510352001563,2015,International Baccalaureate (IB),,,0,0,0,0,0,0,0,0,0,0
VA,SMYTH CO PBLC SCHS,VA,NORTHWOOD HIGH,510352001563,2015,Dual Enrollment,,,0,0,0,0,0,0.45,0,0.45,0.04,0
VA,SMYTH CO PBLC SCHS,VA,NORTHWOOD HIGH,510352001563,2015,Total Enrollment (Secondary Schools),,,0,0,0,0.01,0.01,0.96,0.01,1,0.12,0
VA,SPOTSYLVANIA CO PBLC SCHS,VA,GATES ALTERNATIVE HIGH SCH. PRGM.,510364001190,2015,Number of types of AP courses,,0,,,,,,,,,,
VA,SPOTSYLVANIA CO PBLC SCHS,VA,GATES ALTERNATIVE HIGH SCH. PRGM.,510364001190,2015,Self-select,N/A,,,,,,,,,,,
VA,SPOTSYLVANIA CO PBLC SCHS,VA,GATES ALTERNATIVE HIGH SCH. PRGM.,510364001190,2015,AP mathematics,,,0,0,0,0,0,0,0,0,0,0
VA,SPOTSYLVANIA CO PBLC SCHS,VA,GATES ALTERNATIVE HIGH SCH. PRGM.,510364001190,2015,AP science,,,0,0,0,0,0,0,0,0,0,0
VA,SPOTSYLVANIA CO PBLC SCHS,VA,GATES ALTERNATIVE HIGH SCH. PRGM.,510364001190,2015,Other AP subjects,,,0,0,0,0,0,0,0,0,0,0
VA,SPOTSYLVANIA CO PBLC SCHS,VA,GATES ALTERNATIVE HIGH SCH. PRGM.,510364001190,2015,Enrollment in AP classes,,,0,0,0,0,0,0,0,0,0,0
VA,SPOTSYLVANIA CO PBLC SCHS,VA,GATES ALTERNATIVE HIGH SCH. PRGM.,510364001190,2015,International Baccalaureate (IB),,,0,0,0,0,0,0,0,0,0,0
VA,SPOTSYLVANIA CO PBLC SCHS,VA,GATES ALTERNATIVE HIGH SCH. PRGM.,510364001190,2015,Dual Enrollment,,,0,0,0,0,0,0,0,0,0,0
VA,SPOTSYLVANIA CO PBLC SCHS,VA,GATES ALTERNATIVE HIGH SCH. PRGM.,510364001190,2015,Total Enrollment (Secondary Schools),,,0,0,0,0.06,0.36,0.53,0.06,1,0,0.06
