Lea State,LEA,School State,School,ID,Year,Category,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),LEP
VA,DOE SOP EDUC PROGRAMS,VA,NORTHERN VIRGINIA JUVENILE DETENTION HOME,510004202376,2015,Enrollment in AP classes,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,NORTHERN VIRGINIA JUVENILE DETENTION HOME,510004202376,2015,Taking AP tests for some AP courses taken,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,NORTHERN VIRGINIA JUVENILE DETENTION HOME,510004202376,2015,Students who took AP courses but did not take any AP tests,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,NORTHERN VIRGINIA JUVENILE DETENTION HOME,510004202376,2015,Passing some AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,NORTHERN VIRGINIA JUVENILE DETENTION HOME,510004202376,2015,Passing no AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,NORTHERN VIRGINIA JUVENILE DETENTION HOME,510004202376,2015,Total Enrollment (Secondary Schools),0.00,0.00,0.00,0.64,0.36,0.00,0.00,1.00,0.28,0.56
VA,DOE SOP EDUC PROGRAMS,VA,HIGHLANDS JUVENILE DETENTION HOME,510004202377,2015,Enrollment in AP classes,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,HIGHLANDS JUVENILE DETENTION HOME,510004202377,2015,Taking AP tests for some AP courses taken,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,HIGHLANDS JUVENILE DETENTION HOME,510004202377,2015,Students who took AP courses but did not take any AP tests,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,HIGHLANDS JUVENILE DETENTION HOME,510004202377,2015,Passing some AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,HIGHLANDS JUVENILE DETENTION HOME,510004202377,2015,Passing no AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,HIGHLANDS JUVENILE DETENTION HOME,510004202377,2015,Total Enrollment (Secondary Schools),0.00,0.00,0.00,0.00,0.22,0.78,0.00,1.00,0,0.00
VA,DOE SOP EDUC PROGRAMS,VA,BLUE RIDGE JUVENILE DETENTION HOME,510004202378,2015,Enrollment in AP classes,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,BLUE RIDGE JUVENILE DETENTION HOME,510004202378,2015,Taking AP tests for some AP courses taken,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,BLUE RIDGE JUVENILE DETENTION HOME,510004202378,2015,Students who took AP courses but did not take any AP tests,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,BLUE RIDGE JUVENILE DETENTION HOME,510004202378,2015,Passing some AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,BLUE RIDGE JUVENILE DETENTION HOME,510004202378,2015,Passing no AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,BLUE RIDGE JUVENILE DETENTION HOME,510004202378,2015,Total Enrollment (Secondary Schools),0.00,0.00,0.00,0.11,0.53,0.26,0.11,1.00,0.21,0.00
VA,DOE SOP EDUC PROGRAMS,VA,TIDEWATER JUVENILE DETENTION HOME - CHESAPEAKE,510004202379,2015,Enrollment in AP classes,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,TIDEWATER JUVENILE DETENTION HOME - CHESAPEAKE,510004202379,2015,Taking AP tests for some AP courses taken,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,TIDEWATER JUVENILE DETENTION HOME - CHESAPEAKE,510004202379,2015,Students who took AP courses but did not take any AP tests,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,TIDEWATER JUVENILE DETENTION HOME - CHESAPEAKE,510004202379,2015,Passing some AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,TIDEWATER JUVENILE DETENTION HOME - CHESAPEAKE,510004202379,2015,Passing no AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,TIDEWATER JUVENILE DETENTION HOME - CHESAPEAKE,510004202379,2015,Total Enrollment (Secondary Schools),0.00,0.00,0.00,0.03,0.73,0.21,0.03,1.00,0.21,0.00
VA,DOE SOP EDUC PROGRAMS,VA,CHESTERFIELD JUVENILE DETENTION HOME,510004202380,2015,Enrollment in AP classes,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,CHESTERFIELD JUVENILE DETENTION HOME,510004202380,2015,Taking AP tests for some AP courses taken,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,CHESTERFIELD JUVENILE DETENTION HOME,510004202380,2015,Students who took AP courses but did not take any AP tests,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,CHESTERFIELD JUVENILE DETENTION HOME,510004202380,2015,Passing some AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,CHESTERFIELD JUVENILE DETENTION HOME,510004202380,2015,Passing no AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,DOE SOP EDUC PROGRAMS,VA,CHESTERFIELD JUVENILE DETENTION HOME,510004202380,2015,Total Enrollment (Secondary Schools),0.00,0.00,0.00,0.08,0.52,0.40,0.00,1.00,0.28,0.00
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD SCIENCE AND TECHNOLOGY CENTER,510036000142,2015,Enrollment in AP classes,0,0,0,0,0,0,0,0,0,0
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD SCIENCE AND TECHNOLOGY CENTER,510036000142,2015,Taking AP tests for some AP courses taken,0,0,0,0,0,0,0,0,0,0
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD SCIENCE AND TECHNOLOGY CENTER,510036000142,2015,Students who took AP courses but did not take any AP tests,0,0,0,0,0,0,0,0,0,0
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD SCIENCE AND TECHNOLOGY CENTER,510036000142,2015,Passing some AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD SCIENCE AND TECHNOLOGY CENTER,510036000142,2015,Passing no AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD SCIENCE AND TECHNOLOGY CENTER,510036000142,2015,Total Enrollment (Secondary Schools),0.00,0.01,0.00,0.03,0.09,0.87,0.00,1.00,0.17,0.00
VA,BEDFORD CO PBLC SCHS,VA,LIBERTY HIGH,510036000151,2015,Enrollment in AP classes,0.00,0.02,0.00,0.06,0.06,0.85,0.01,1.00,0.01,0.02
VA,BEDFORD CO PBLC SCHS,VA,LIBERTY HIGH,510036000151,2015,Taking AP tests for some AP courses taken,0.00,0.04,0.00,0.06,0.09,0.79,0.02,1.00,0.00,0.00
VA,BEDFORD CO PBLC SCHS,VA,LIBERTY HIGH,510036000151,2015,Students who took AP courses but did not take any AP tests,0.00,0.06,0.00,0.10,0.07,0.75,0.03,1.00,0.00,0.00
VA,BEDFORD CO PBLC SCHS,VA,LIBERTY HIGH,510036000151,2015,Passing some AP tests taken,0,0,0,0,0.09,0.91,0,1.00,0,0
VA,BEDFORD CO PBLC SCHS,VA,LIBERTY HIGH,510036000151,2015,Passing no AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,BEDFORD CO PBLC SCHS,VA,LIBERTY HIGH,510036000151,2015,Total Enrollment (Secondary Schools),0.01,0.00,0.00,0.03,0.11,0.81,0.04,1.00,0.13,0.00
VA,BEDFORD CO PBLC SCHS,VA,STAUNTON RIVER HIGH,510036000156,2015,Enrollment in AP classes,0.00,0.02,0.00,0.10,0.02,0.85,0.02,1.00,0.17,0.00
VA,BEDFORD CO PBLC SCHS,VA,STAUNTON RIVER HIGH,510036000156,2015,Taking AP tests for some AP courses taken,0.00,0.03,0.00,0.09,0.03,0.82,0.03,1.00,0.00,0.00
VA,BEDFORD CO PBLC SCHS,VA,STAUNTON RIVER HIGH,510036000156,2015,Students who took AP courses but did not take any AP tests,0.00,0.04,0.00,0.09,0.02,0.80,0.04,1.00,0.00,0.00
VA,BEDFORD CO PBLC SCHS,VA,STAUNTON RIVER HIGH,510036000156,2015,Passing some AP tests taken,0,0,0,0.10,0,0.90,0,1.00,0,0
VA,BEDFORD CO PBLC SCHS,VA,STAUNTON RIVER HIGH,510036000156,2015,Passing no AP tests taken,0,0,0,0,0,1.00,0,1.00,0,0
VA,BEDFORD CO PBLC SCHS,VA,STAUNTON RIVER HIGH,510036000156,2015,Total Enrollment (Secondary Schools),0.00,0.01,0.01,0.02,0.05,0.89,0.02,1.00,0.11,0.01
VA,BEDFORD CO PBLC SCHS,VA,JEFFERSON FOREST HIGH,510036002175,2015,Enrollment in AP classes,0.00,0.05,0.00,0.02,0.03,0.90,0.01,1.00,0.03,0.01
VA,BEDFORD CO PBLC SCHS,VA,JEFFERSON FOREST HIGH,510036002175,2015,Taking AP tests for some AP courses taken,0.00,0.02,0.00,0.02,0.02,0.93,0.01,1.00,0.00,0.00
VA,BEDFORD CO PBLC SCHS,VA,JEFFERSON FOREST HIGH,510036002175,2015,Students who took AP courses but did not take any AP tests,0.00,0.17,0.00,0.08,0.06,0.69,0.00,1.00,0.00,0.00
VA,BEDFORD CO PBLC SCHS,VA,JEFFERSON FOREST HIGH,510036002175,2015,Passing some AP tests taken,0,0.02,0,0,0.02,0.95,0,1.00,0,0
VA,BEDFORD CO PBLC SCHS,VA,JEFFERSON FOREST HIGH,510036002175,2015,Passing no AP tests taken,0,0,0,0.07,0,0.93,0,1.00,0,0
VA,BEDFORD CO PBLC SCHS,VA,JEFFERSON FOREST HIGH,510036002175,2015,Total Enrollment (Secondary Schools),0.00,0.04,0.00,0.03,0.06,0.85,0.02,1.00,0.07,0.01
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD COUNTY ALTERNATIVE EDUCATION CENTER,510036002961,2015,Enrollment in AP classes,0,0,0,0,0,0,0,0,0,0
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD COUNTY ALTERNATIVE EDUCATION CENTER,510036002961,2015,Taking AP tests for some AP courses taken,0,0,0,0,0,0,0,0,0,0
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD COUNTY ALTERNATIVE EDUCATION CENTER,510036002961,2015,Students who took AP courses but did not take any AP tests,0,0,0,0,0,0,0,0,0,0
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD COUNTY ALTERNATIVE EDUCATION CENTER,510036002961,2015,Passing some AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD COUNTY ALTERNATIVE EDUCATION CENTER,510036002961,2015,Passing no AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD COUNTY ALTERNATIVE EDUCATION CENTER,510036002961,2015,Total Enrollment (Secondary Schools),0.00,0.12,0.00,0.47,0.29,0.12,0.00,1.00,0,0.00
VA,FAIRFAX CO PBLC SCHS,VA,HAYFIELD SECONDARY,510126000493,2015,Enrollment in AP classes,0.01,0.19,0.01,0.12,0.25,0.37,0.06,1.00,0.02,0.00
VA,FAIRFAX CO PBLC SCHS,VA,HAYFIELD SECONDARY,510126000493,2015,Taking AP tests for some AP courses taken,0.01,0.18,0.01,0.12,0.26,0.37,0.06,1.00,0.02,0.00
VA,FAIRFAX CO PBLC SCHS,VA,HAYFIELD SECONDARY,510126000493,2015,Students who took AP courses but did not take any AP tests,0.00,0.19,0.00,0.10,0.19,0.33,0.19,1.00,0.10,0.00
VA,FAIRFAX CO PBLC SCHS,VA,HAYFIELD SECONDARY,510126000493,2015,Passing some AP tests taken,0,0.21,0,0.13,0.21,0.41,0.05,1.00,0,0
