Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
VA,AUGUSTA CO PBLC SCHS,VA,CASSELL ELEM,510030000118,2015,Classroom Teachers,34.50,34.50,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CASSELL ELEM,510030000118,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CASSELL ELEM,510030000118,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CASSELL ELEM,510030000118,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CASSELL ELEM,510030000118,2015,Teachers employed during current school year,34.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CASSELL ELEM,510030000118,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CASSELL ELEM,510030000118,2015,High-School Counselors,1.50,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CASSELL ELEM,510030000118,2015,Total enrollment,,,2.00,2.00,0.00,22.00,10.00,430.00,31.00,497.00,35.00,10.00
VA,AUGUSTA CO PBLC SCHS,VA,CHURCHVILLE ELEM,510030000119,2015,Classroom Teachers,25.00,25.00,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CHURCHVILLE ELEM,510030000119,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CHURCHVILLE ELEM,510030000119,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CHURCHVILLE ELEM,510030000119,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CHURCHVILLE ELEM,510030000119,2015,Teachers employed during current school year,29.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CHURCHVILLE ELEM,510030000119,2015,Teachers employed during both the current and previous school year,24.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CHURCHVILLE ELEM,510030000119,2015,High-School Counselors,1.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CHURCHVILLE ELEM,510030000119,2015,Total enrollment,,,0.00,0.00,0.00,4.00,0.00,274.00,7.00,285.00,23.00,2.00
VA,AUGUSTA CO PBLC SCHS,VA,CRAIGSVILLE ELEM,510030000120,2015,Classroom Teachers,16.00,15.00,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CRAIGSVILLE ELEM,510030000120,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CRAIGSVILLE ELEM,510030000120,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CRAIGSVILLE ELEM,510030000120,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CRAIGSVILLE ELEM,510030000120,2015,Teachers employed during current school year,18.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CRAIGSVILLE ELEM,510030000120,2015,Teachers employed during both the current and previous school year,16.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CRAIGSVILLE ELEM,510030000120,2015,High-School Counselors,0.80,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,CRAIGSVILLE ELEM,510030000120,2015,Total enrollment,,,2.00,0.00,0.00,4.00,2.00,142.00,7.00,157.00,14.00,4.00
VA,AUGUSTA CO PBLC SCHS,VA,FT DEFIANCE HIGH,510030000124,2015,Classroom Teachers,66.00,63.00,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,FT DEFIANCE HIGH,510030000124,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,FT DEFIANCE HIGH,510030000124,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,FT DEFIANCE HIGH,510030000124,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,FT DEFIANCE HIGH,510030000124,2015,Teachers employed during current school year,66.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,FT DEFIANCE HIGH,510030000124,2015,Teachers employed during both the current and previous school year,58.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,FT DEFIANCE HIGH,510030000124,2015,High-School Counselors,3.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,FT DEFIANCE HIGH,510030000124,2015,Total enrollment,,,2.00,7.00,0.00,61.00,5.00,715.00,25.00,815.00,53.00,10.00
VA,AUGUSTA CO PBLC SCHS,VA,NORTH RIVER ELEM,510030000127,2015,Classroom Teachers,24.00,24.00,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,NORTH RIVER ELEM,510030000127,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,NORTH RIVER ELEM,510030000127,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,NORTH RIVER ELEM,510030000127,2015,Teachers absent more than 10 days of the school year,4.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,NORTH RIVER ELEM,510030000127,2015,Teachers employed during current school year,24.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,NORTH RIVER ELEM,510030000127,2015,Teachers employed during both the current and previous school year,19.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,NORTH RIVER ELEM,510030000127,2015,High-School Counselors,0.50,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,NORTH RIVER ELEM,510030000127,2015,Total enrollment,,,4.00,0.00,0.00,40.00,2.00,211.00,2.00,259.00,26.00,19.00
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS ELEM,510030000128,2015,Classroom Teachers,41.20,41.20,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS ELEM,510030000128,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS ELEM,510030000128,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS ELEM,510030000128,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS ELEM,510030000128,2015,Teachers employed during current school year,41.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS ELEM,510030000128,2015,Teachers employed during both the current and previous school year,35.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS ELEM,510030000128,2015,High-School Counselors,1.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS ELEM,510030000128,2015,Total enrollment,,,4.00,2.00,0.00,13.00,10.00,475.00,10.00,514.00,32.00,2.00
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS HIGH,510030000129,2015,Classroom Teachers,40.00,40.00,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS HIGH,510030000129,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS HIGH,510030000129,2015,Classroom teachers in their second year of teaching,6.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS HIGH,510030000129,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS HIGH,510030000129,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS HIGH,510030000129,2015,Teachers employed during both the current and previous school year,38.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS HIGH,510030000129,2015,High-School Counselors,2.00,,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS HIGH,510030000129,2015,Total enrollment,,,2.00,4.00,0.00,7.00,7.00,448.00,10.00,478.00,20.00,2.00
VA,AUGUSTA CO PBLC SCHS,VA,STUARTS DRAFT MIDDLE,510030000130,2015,Classroom Teachers,44.25,43.25,,,,,,,,,,
