Lea State,LEA,School State,School,ID,Year,Category,Amount,Full Time Equivalent (FTE),American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
VA,ALEXANDRIA CITY PBLC SCHS,VA,GEORGE WASHINGTON MIDDLE,510012002999,2015,Salary Amount for Total Personnel (instructional support services and school administration),9804426.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,GEORGE WASHINGTON MIDDLE,510012002999,2015,Salary Amount for Teachers,7679864.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,GEORGE WASHINGTON MIDDLE,510012002999,2015,Instructional Aides,201234.00,6.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,GEORGE WASHINGTON MIDDLE,510012002999,2015,School Administration Staff,729440.00,11.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,GEORGE WASHINGTON MIDDLE,510012002999,2015,Support Services Staff (for Pupils and for Instructional Staff),1147740.00,17.20,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,GEORGE WASHINGTON MIDDLE,510012002999,2015,Non-Personnel Expenditures,1778454.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,GEORGE WASHINGTON MIDDLE,510012002999,2015,Total enrollment,,,2.00,31.00,2.00,421.00,262.00,538.00,34.00,1290.00,152.00,112.00,154.00
VA,ALEXANDRIA CITY PBLC SCHS,VA,LYLES-CROUCH ELEM,510012000047,2015,Salary Amount for Total Personnel (instructional support services and school administration),3849278.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,LYLES-CROUCH ELEM,510012000047,2015,Salary Amount for Teachers,2733809.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,LYLES-CROUCH ELEM,510012000047,2015,Instructional Aides,226414.00,8.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,LYLES-CROUCH ELEM,510012000047,2015,School Administration Staff,312009.00,3.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,LYLES-CROUCH ELEM,510012000047,2015,Support Services Staff (for Pupils and for Instructional Staff),581279.00,8.80,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,LYLES-CROUCH ELEM,510012000047,2015,Non-Personnel Expenditures,553358.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,LYLES-CROUCH ELEM,510012000047,2015,Total enrollment,,,2.00,7.00,4.00,31.00,130.00,223.00,13.00,410.00,35.00,16.00,43.00
VA,ALEXANDRIA CITY PBLC SCHS,VA,DOUGLAS MACARTHUR ELEM,510012000039,2015,Salary Amount for Total Personnel (instructional support services and school administration),5028763.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,DOUGLAS MACARTHUR ELEM,510012000039,2015,Salary Amount for Teachers,3732815.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,DOUGLAS MACARTHUR ELEM,510012000039,2015,Instructional Aides,237719.00,8.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,DOUGLAS MACARTHUR ELEM,510012000039,2015,School Administration Staff,412200.00,4.50,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,DOUGLAS MACARTHUR ELEM,510012000039,2015,Support Services Staff (for Pupils and for Instructional Staff),651632.00,9.70,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,DOUGLAS MACARTHUR ELEM,510012000039,2015,Non-Personnel Expenditures,803856.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,DOUGLAS MACARTHUR ELEM,510012000039,2015,Total enrollment,,,2.00,22.00,2.00,136.00,151.00,373.00,28.00,714.00,68.00,55.00,112.00
VA,ALEXANDRIA CITY PBLC SCHS,VA,WILLIAM RAMSAY ELEM,510012000055,2015,Salary Amount for Total Personnel (instructional support services and school administration),6633631.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,WILLIAM RAMSAY ELEM,510012000055,2015,Salary Amount for Teachers,5195141.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,WILLIAM RAMSAY ELEM,510012000055,2015,Instructional Aides,386357.00,13.00,,,,,,,,,,,
