Lea State,LEA,School State,School,ID,Year,Category,Yes/No,Male,Female,Total,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total
VA,ARLINGTON CO PBLC SCHS,VA,ARLINGTON COMMUNITY HIGH,510027002875,2015,Has interscholastic athletics,No,,,,,,,,,,
VA,ARLINGTON CO PBLC SCHS,VA,ARLINGTON COMMUNITY HIGH,510027002875,2015,Single-sex teams,,0,0,0,,,,,,,,
VA,ARLINGTON CO PBLC SCHS,VA,ARLINGTON COMMUNITY HIGH,510027002875,2015,Single-sex sports,,0,0,0,,,,,,,,
VA,ARLINGTON CO PBLC SCHS,VA,ARLINGTON COMMUNITY HIGH,510027002875,2015,Participants on single-sex teams,,0,0,0,,,,,,,,
VA,ARLINGTON CO PBLC SCHS,VA,ARLINGTON COMMUNITY HIGH,510027002875,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.05,0.00,0.58,0.05,0.02,0.00,0.70
VA,ARLINGTON CO PBLC SCHS,VA,ARLINGTON COMMUNITY HIGH,510027002875,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.02,0.00,0.21,0.05,0.02,0.00,0.30
VA,ARLINGTON CO PBLC SCHS,VA,NEW DIRECTIONS ALTERNATIVE H.S. PROGRAM,510027002860,2015,Has interscholastic athletics,No,,,,,,,,,,
VA,ARLINGTON CO PBLC SCHS,VA,NEW DIRECTIONS ALTERNATIVE H.S. PROGRAM,510027002860,2015,Single-sex teams,,0,0,0,,,,,,,,
VA,ARLINGTON CO PBLC SCHS,VA,NEW DIRECTIONS ALTERNATIVE H.S. PROGRAM,510027002860,2015,Single-sex sports,,0,0,0,,,,,,,,
VA,ARLINGTON CO PBLC SCHS,VA,NEW DIRECTIONS ALTERNATIVE H.S. PROGRAM,510027002860,2015,Participants on single-sex teams,,0,0,0,,,,,,,,
VA,ARLINGTON CO PBLC SCHS,VA,NEW DIRECTIONS ALTERNATIVE H.S. PROGRAM,510027002860,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.00,0.00,0.41,0.19,0.19,0.00,0.78
VA,ARLINGTON CO PBLC SCHS,VA,NEW DIRECTIONS ALTERNATIVE H.S. PROGRAM,510027002860,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.22
VA,ARLINGTON CO PBLC SCHS,VA,STRATFORD PROGRAM,510027002331,2015,Has interscholastic athletics,No,,,,,,,,,,
VA,ARLINGTON CO PBLC SCHS,VA,STRATFORD PROGRAM,510027002331,2015,Single-sex teams,,0,0,0,,,,,,,,
VA,ARLINGTON CO PBLC SCHS,VA,STRATFORD PROGRAM,510027002331,2015,Single-sex sports,,0,0,0,,,,,,,,
VA,ARLINGTON CO PBLC SCHS,VA,STRATFORD PROGRAM,510027002331,2015,Participants on single-sex teams,,0,0,0,,,,,,,,
VA,ARLINGTON CO PBLC SCHS,VA,STRATFORD PROGRAM,510027002331,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.15,0.00,0.26,0.09,0.15,0.04,0.69
VA,ARLINGTON CO PBLC SCHS,VA,STRATFORD PROGRAM,510027002331,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.04,0.00,0.09,0.00,0.15,0.04,0.31
VA,ARLINGTON CO PBLC SCHS,VA,HB WOODLAWN SECONDARY PRGM.,510027002659,2015,Has interscholastic athletics,No,,,,,,,,,,
VA,ARLINGTON CO PBLC SCHS,VA,HB WOODLAWN SECONDARY PRGM.,510027002659,2015,Single-sex teams,,0,0,0,,,,,,,,
VA,ARLINGTON CO PBLC SCHS,VA,HB WOODLAWN SECONDARY PRGM.,510027002659,2015,Single-sex sports,,0,0,0,,,,,,,,
VA,ARLINGTON CO PBLC SCHS,VA,HB WOODLAWN SECONDARY PRGM.,510027002659,2015,Participants on single-sex teams,,0,0,0,,,,,,,,
VA,ARLINGTON CO PBLC SCHS,VA,HB WOODLAWN SECONDARY PRGM.,510027002659,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.03,0.00,0.10,0.01,0.32,0.03,0.49
VA,ARLINGTON CO PBLC SCHS,VA,HB WOODLAWN SECONDARY PRGM.,510027002659,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.05,0.00,0.08,0.03,0.32,0.03,0.51
VA,AUGUSTA CO PBLC SCHS,VA,BUFFALO GAP HIGH,510030000117,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,BUFFALO GAP HIGH,510030000117,2015,Single-sex teams,,0.52,0.48,1.00,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,BUFFALO GAP HIGH,510030000117,2015,Single-sex sports,,0.50,0.50,1.00,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,BUFFALO GAP HIGH,510030000117,2015,Participants on single-sex teams,,0.53,0.47,1.00,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,BUFFALO GAP HIGH,510030000117,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.00,0.00,0.01,0.01,0.48,0.00,0.51
